product_id,store_id,name,category,stock,unit_price
1,1,"Spaghetti","Pasta",150,1.50
2,1,"Pancetta","Meat",50,4.20
3,1,"Eggs","Dairy & Eggs",200,2.80
4,1,"Pecorino Romano Cheese","Cheese",30,6.50
5,1,"Tomatoes","Produce",100,2.00
6,1,"Fresh Basil","Produce",40,1.80
7,1,"Garlic","Produce",60,0.90
8,1,"Olive Oil","Oils & Fats",80,7.99
9,2,"Carrots","Produce",120,0.75
10,2,"Potatoes","Produce",180,1.20
11,2,"Cauliflower","Produce",70,2.50
12,2,"Peas (Frozen)","Frozen",90,1.90
13,2,"Coconut Milk","Pantry",60,3.10
14,2,"Curry Powder","Spices",100,2.75
15,2,"Onion","Produce",150,0.60
16,2,"Ginger","Produce",45,1.50
17,2,"Rice (Basmati)","Grains",110,3.50
18,3,"Flour","Baking",200,2.10
19,3,"Sugar","Baking",180,1.80
20,3,"Cocoa Powder","Baking",75,3.00
21,3,"Milk","Dairy & Eggs",150,1.10
22,3,"Vegetable Oil","Oils & Fats",90,4.50
23,3,"Baking Powder","Baking",60,1.20
24,3,"Vanilla Extract","Baking",40,3.80
25,3,"Chocolate Frosting","Baking",55,2.90
26,4,"Chicken Pieces","Meat",80,5.50
27,4,"Yogurt (Plain)","Dairy & Eggs",120,2.00
28,4,"Tikka Masala Spice Mix","Spices",95,4.00
29,4,"Tomato Paste","Pantry",70,1.50
30,4,"Cream (Heavy)","Dairy & Eggs",60,3.20
31,5,"Apples","Produce",250,1.00
32,5,"Butter","Dairy & Eggs",100,3.50
33,5,"Cinnamon","Spices",85,2.20
34,1,"Arborio Rice","Grains",40,4.00
35,1,"Mushrooms","Produce",65,3.00
36,1,"Vegetable Broth","Pantry",70,2.50
37,1,"White Wine","Beverages",35,8.00
38,1,"Parmesan Cheese","Cheese",25,7.00
39,2,"Beef Strips","Meat",40,7.50
40,2,"Broccoli","Produce",80,2.20
41,2,"Bell Peppers (Mixed)","Produce",90,2.80
42,2,"Soy Sauce","Pantry",55,3.00
43,2,"Sesame Oil","Oils & Fats",30,6.00
44,3,"Shortcrust Pastry","Frozen",45,3.50
45,3,"Lemon Juice","Produce",50,2.00
46,3,"Lemon Zest","Produce",0,0.50
47,4,"Lentils","Pantry",110,1.80
48,4,"Celery","Produce",75,1.10
49,4,"Thyme (Dried)","Spices",30,2.50
50,4,"Bay Leaf","Spices",40,1.00
51,5,"Ladyfingers","Baking",60,4.00
52,5,"Coffee","Pantry",90,5.50
53,5,"Mascarpone Cheese","Cheese",35,8.50
54,5,"Cocoa Powder (for dusting)","Baking",40,3.20
55,1,"Rice Noodles","Pantry",70,2.80
56,1,"Tofu","Produce",55,3.50
57,1,"Bean Sprouts","Produce",40,1.50
58,1,"Peanuts","Pantry",60,2.00
59,1,"Tamarind Paste","Pantry",30,4.50
60,2,"Fish Sauce","Pantry",45,3.20
61,2,"Lime","Produce",70,0.80
62,3,"Graham Crackers","Baking",50,3.00
63,3,"Sweetened Condensed Milk","Dairy & Eggs",40,2.50
64,3,"Key Limes","Produce",35,1.20
65,4,"Sushi Rice","Grains",50,4.50
66,4,"Nori Sheets","Pantry",45,5.00
67,4,"Salmon Fillet","Seafood",25,9.00
