recipe_id,Name,Ingredients,Description,Instructions,Category,Cousin,Difficulty,Picture
1,"Spaghetti Carbonara","spaghetti, pancetta, eggs, Pecorino Romano cheese, Black pepper","Classic Roman pasta dish with creamy egg and cheese sauce. Difficulty level is easy, requiring basic cooking skills like boiling pasta and tempering eggs to achieve the signature silky sauce without scrambling. Health-wise, it's rich in protein (25g per serving) and carbohydrates (45g per serving) but high in calories (600-800 kcal) and fat (30g per serving). The taste is rich, savory and indulgent with a silky smooth texture from the eggs and sharp notes from the Pecorino cheese. Best served as a hearty lunch or dinner meal. Not suitable for breakfast or light meals due to its richness. The dish takes under 30 minutes to prepare, making it perfect for a quick weeknight dinner. While not the healthiest option for regular consumption, it's an excellent choice for special occasions or when craving classic Italian comfort food.","Cook spaghetti according to package directions. Fry pancetta until crispy. Whisk eggs, cheese, and pepper. Toss hot pasta with pancetta and egg mixture. Serve immediately.","Non-Veggi","Italian","Easy","carbonara.jpg"
2,"Vegetable Curry","carrots, potatoes, cauliflower, peas, Coconut milk, Curry powder, Onion, Garlic, Ginger","This vegetable curry is a medium difficulty dish that requires basic cooking skills like sautéing and simmering. Health-wise, it's an excellent nutritious choice at only 300 calories per serving, with 8g protein, 45g carbs, and 12g fiber. The dish is naturally vegan and gluten-free. The taste profile features a rich, creamy coconut base balanced with warming Indian spices and tender vegetables. The curry powder provides a moderate heat level while the coconut milk adds subtle sweetness. Best served as a hearty lunch or dinner, it pairs perfectly with rice or naan bread. The leftovers keep well, making it great for meal prep. While it takes about 45 minutes to prepare, most of that is hands-off simmering time. The dish offers excellent nutritional value with high levels of vitamins A and C, potassium, and iron from the variety of vegetables.","Sauté onion, garlic, and ginger. Add vegetables and curry powder. Stir in coconut milk and simmer until vegetables are tender. Serve with rice.","Veggi","Indian","Medium","veg_curry.jpg"
3,"Chocolate Cake","Flour, Sugar, Cocoa powder, Eggs, Milk, Oil, Baking powder, Vanilla extract","Rich and decadent chocolate cake.","Mix dry ingredients. Whisk wet ingredients. Combine wet and dry. Pour into a greased pan and bake until a toothpick comes out clean. Frost as desired.","Dessert","American","Medium","chocolate_cake.jpg"
4,"Chicken Tikka Masala","Chicken pieces, Yogurt, Tikka Masala spice mix, Onion, Tomato paste, Cream","Popular Indian chicken dish in a creamy tomato-based sauce.","Marinate chicken in yogurt and spices. Sauté onion and add tomato paste and spice mix. Add chicken and simmer. Stir in cream before serving.","Halal","Indian","Medium","tikka_masala.jpg"
5,"Apple Pie","Apples, Flour, Butter, Sugar, Cinnamon","Classic sweet pie with a flaky crust and spiced apple filling.","Prepare pie crust. Slice apples and mix with sugar and cinnamon. Fill the crust with apples and top with another crust. Bake until golden brown.","Dessert","American","Medium","apple_pie.jpg"
6,"Mushroom Risotto","Arborio rice, Mushrooms, Vegetable broth, Onion, Garlic, White wine, Parmesan cheese, Butter, Olive oil","Creamy Italian rice dish with earthy mushrooms.","Sauté onion and garlic. Add rice and toast. Deglaze with white wine. Gradually add warm broth, stirring constantly until creamy. Stir in mushrooms, cheese, and butter.","Veggi","Italian","Medium","mushroom_risotto.jpg"
7,"Beef Stir-Fry","Beef strips, Broccoli, Bell peppers, Soy sauce, Ginger, Garlic, Sesame oil","Quick and flavorful Asian-inspired beef stir-fry.","Stir-fry beef until browned. Add vegetables and cook until tender-crisp. Stir in soy sauce, ginger, and garlic. Toss with sesame oil. Serve over rice or noodles.","Non-Veggi","Chinese","Easy","beef_stir_fry.jpg"
8,"Lemon Tart","Shortcrust pastry, Eggs, Sugar, Lemon juice, Lemon zest, Cream","Tangy and sweet French dessert tart.","Prepare pastry and blind bake. Whisk eggs, sugar, lemon juice, zest, and cream. Pour into the crust and bake until set. Chill before serving.","Dessert","French","Medium","lemon_tart.jpg"
9,"Lentil Soup","Lentils, Carrots, Celery, Onion, Vegetable broth, thyme, bay leaf","Hearty and nutritious vegetarian soup.","Sauté vegetables. Add lentils, broth, and herbs. Simmer until lentils are tender. Season to taste.","Veggi","Mediterranean","Easy","lentil_soup.jpg"
10,"Butter Chicken","Chicken pieces, Yogurt, Butter, Tomato sauce, Cream, Spices","Rich and creamy Indian chicken curry.","Marinate chicken in yogurt and spices. Cook chicken. Prepare tomato-based sauce with butter, cream, and spices. Combine chicken and sauce.","Halal","Indian","Medium","butter_chicken.jpg"
11,"Tiramisu","Ladyfingers, Coffee, Mascarpone cheese, Eggs, Sugar, Cocoa powder","Classic Italian coffee-flavored dessert.","Dip ladyfingers in coffee. Layer with a mixture of mascarpone, eggs, and sugar. Dust with cocoa powder. Chill before serving.","Dessert","Italian","Medium","tiramisu.jpg"
12,"Pad Thai","Rice noodles, Tofu, Egg, Bean sprouts, Peanuts, Tamarind paste, Fish sauce, Sugar, Lime","Popular Thai stir-fried noodle dish.","Soak rice noodles. Stir-fry tofu/shrimp/chicken and egg. Add noodles and sauce. Toss with bean sprouts and peanuts. Serve with lime.","Non-Veggi","Thai","Medium","pad_thai.jpg"
13,"Gazpacho","Tomatoes, Cucumber, Bell pepper, Onion, Garlic, Olive oil, Vinegar, Bread","Refreshing cold Spanish soup.","Blend all ingredients until smooth. Chill thoroughly before serving.","Veggi","Spanish","Easy","gazpacho.jpg"
14,"Baklava","Phyllo dough, walnuts, pistachios, Butter, Sugar, Honey, Cinnamon","Sweet and flaky Mediterranean pastry.","Layer phyllo dough with melted butter and chopped nuts. Bake until golden. Pour warm honey syrup over the baked pastry.","Dessert","Greek","Hard","baklava.jpg"
15,"Shepherd's Pie","Ground lamb, peas, carrots, onions, Mashed potatoes","Comforting British dish with a savory meat base and mashed potato topping.","Brown the meat and sauté vegetables. Top with mashed potatoes and bake until golden brown.","Non-Veggi","British","Medium","shepherds_pie.jpg"
